,vignette,sender,infotype,recipient,transmission,type
0,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if its privacy policy permits it,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if its privacy policy permits it,coppa
1,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if its owner is directly notified before the information was collected,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if its owner is directly notified before the information was collected,coppa
2,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if its owner has given verifiable consent,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if its owner has given verifiable consent,coppa
3,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if its owner has given verifiable consent before the information was collected,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if its owner has given verifiable consent before the information was collected,coppa
4,"a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if its owner can at any time revoke their consent, review or delete the information collected",a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,"if its owner can at any time revoke their consent, review or delete the information collected",coppa
5,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if it implements reasonable procedures to protect the information collected,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if it implements reasonable procedures to protect the information collected,coppa
6,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if the information is kept confidential,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if the information is kept confidential,coppa
7,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if the information is kept secure,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if the information is kept secure,coppa
8,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,coppa
9,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if the information is deleted,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if the information is deleted,coppa
10,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if the information is used to protect a child's safety,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if the information is used to protect a child's safety,coppa
11,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if the information is used to provide support for internal operations of the device,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if the information is used to provide support for internal operations of the device,coppa
12,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if the information is used to maintain or analyze the function of the device,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if the information is used to maintain or analyze the function of the device,coppa
13,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if the information is used to serve contextual ads,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if the information is used to serve contextual ads,coppa
14,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer under the following condition: if it complies with the Children's Online Privacy Protection Rule,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,if it complies with the Children's Online Privacy Protection Rule,coppa
15,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if its privacy policy permits it,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if its privacy policy permits it,coppa
16,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if its owner is directly notified before the information was collected,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if its owner is directly notified before the information was collected,coppa
17,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if its owner has given verifiable consent,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if its owner has given verifiable consent,coppa
18,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if its owner has given verifiable consent before the information was collected,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if its owner has given verifiable consent before the information was collected,coppa
19,"a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if its owner can at any time revoke their consent, review or delete the information collected",a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,"if its owner can at any time revoke their consent, review or delete the information collected",coppa
20,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if it implements reasonable procedures to protect the information collected,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if it implements reasonable procedures to protect the information collected,coppa
21,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if the information is kept confidential,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if the information is kept confidential,coppa
22,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if the information is kept secure,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if the information is kept secure,coppa
23,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,coppa
24,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if the information is deleted,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if the information is deleted,coppa
25,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if the information is used to protect a child's safety,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if the information is used to protect a child's safety,coppa
26,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if the information is used to provide support for internal operations of the device,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if the information is used to provide support for internal operations of the device,coppa
27,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if the information is used to maintain or analyze the function of the device,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if the information is used to maintain or analyze the function of the device,coppa
28,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if the information is used to serve contextual ads,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if the information is used to serve contextual ads,coppa
29,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider under the following condition: if it complies with the Children's Online Privacy Protection Rule,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,if it complies with the Children's Online Privacy Protection Rule,coppa
30,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if its privacy policy permits it,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if its privacy policy permits it,coppa
31,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if its owner is directly notified before the information was collected,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if its owner is directly notified before the information was collected,coppa
32,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if its owner has given verifiable consent,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if its owner has given verifiable consent,coppa
33,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if its owner has given verifiable consent before the information was collected,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if its owner has given verifiable consent before the information was collected,coppa
34,"a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if its owner can at any time revoke their consent, review or delete the information collected",a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,"if its owner can at any time revoke their consent, review or delete the information collected",coppa
35,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if it implements reasonable procedures to protect the information collected,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if it implements reasonable procedures to protect the information collected,coppa
36,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if the information is kept confidential,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if the information is kept confidential,coppa
37,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if the information is kept secure,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if the information is kept secure,coppa
38,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,coppa
39,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if the information is deleted,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if the information is deleted,coppa
40,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if the information is used to protect a child's safety,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if the information is used to protect a child's safety,coppa
41,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if the information is used to provide support for internal operations of the device,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if the information is used to provide support for internal operations of the device,coppa
42,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if the information is used to maintain or analyze the function of the device,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if the information is used to maintain or analyze the function of the device,coppa
