,vignette,sender,infotype,recipient,transmission,type
0,a sleep monitor records owner's location which is sent to the local police under the following condition: if owner has given consent,a sleep monitor,owner's location,the local police,if owner has given consent,iot
1,a sleep monitor records owner's location which is sent to the local police under the following condition: if owner is notified,a sleep monitor,owner's location,the local police,if owner is notified,iot
2,a sleep monitor records owner's location which is sent to the local police under the following condition: if the information is kept confidential,a sleep monitor,owner's location,the local police,if the information is kept confidential,iot
3,a sleep monitor records owner's location which is sent to the local police under the following condition: if the information is anonymous,a sleep monitor,owner's location,the local police,if the information is anonymous,iot
4,a sleep monitor records owner's location which is sent to the local police under the following condition: if the information is used to perform maintenance on the device,a sleep monitor,owner's location,the local police,if the information is used to perform maintenance on the device,iot
5,a sleep monitor records owner's location which is sent to the local police under the following condition: if the information is used to provide a price discount,a sleep monitor,owner's location,the local police,if the information is used to provide a price discount,iot
6,a sleep monitor records owner's location which is sent to the local police under the following condition: if the information is used for advertising,a sleep monitor,owner's location,the local police,if the information is used for advertising,iot
7,a sleep monitor records owner's location which is sent to the local police under the following condition: if the information is used to develop new features for the device,a sleep monitor,owner's location,the local police,if the information is used to develop new features for the device,iot
8,a sleep monitor records owner's location which is sent to the local police under the following condition: if the information is not stored,a sleep monitor,owner's location,the local police,if the information is not stored,iot
9,a sleep monitor records owner's location which is sent to the local police under the following condition: if the information is stored indefinitely,a sleep monitor,owner's location,the local police,if the information is stored indefinitely,iot
10,a sleep monitor records owner's location which is sent to the local police under the following condition: if its privacy policy permits it,a sleep monitor,owner's location,the local police,if its privacy policy permits it,iot
11,a sleep monitor records owner's location which is sent to the local police under the following condition: in an emergency situation,a sleep monitor,owner's location,the local police,in an emergency situation,iot
12,a sleep monitor records owner's location which is sent to government intelligence agencies under the following condition: if owner has given consent,a sleep monitor,owner's location,government intelligence agencies,if owner has given consent,iot
13,a sleep monitor records owner's location which is sent to government intelligence agencies under the following condition: if owner is notified,a sleep monitor,owner's location,government intelligence agencies,if owner is notified,iot
14,a sleep monitor records owner's location which is sent to government intelligence agencies under the following condition: if the information is kept confidential,a sleep monitor,owner's location,government intelligence agencies,if the information is kept confidential,iot
15,a sleep monitor records owner's location which is sent to government intelligence agencies under the following condition: if the information is anonymous,a sleep monitor,owner's location,government intelligence agencies,if the information is anonymous,iot
16,a sleep monitor records owner's location which is sent to government intelligence agencies under the following condition: if the information is used to perform maintenance on the device,a sleep monitor,owner's location,government intelligence agencies,if the information is used to perform maintenance on the device,iot
17,a sleep monitor records owner's location which is sent to government intelligence agencies under the following condition: if the information is used to provide a price discount,a sleep monitor,owner's location,government intelligence agencies,if the information is used to provide a price discount,iot
18,a sleep monitor records owner's location which is sent to government intelligence agencies under the following condition: if the information is used for advertising,a sleep monitor,owner's location,government intelligence agencies,if the information is used for advertising,iot
