,vignette,sender,infotype,recipient,type
0,a sleep monitor records owner's location which is sent to the local police,a sleep monitor,owner's location,the local police,iotNull
1,a sleep monitor records owner's location which is sent to government intelligence agencies,a sleep monitor,owner's location,government intelligence agencies,iotNull
2,a sleep monitor records owner's location which is sent to owner's doctor,a sleep monitor,owner's location,owner's doctor,iotNull
3,a sleep monitor records owner's location which is sent to an Internet service provider,a sleep monitor,owner's location,an Internet service provider,iotNull
4,a sleep monitor records owner's location which is sent to its manufacturer,a sleep monitor,owner's location,its manufacturer,iotNull
5,a sleep monitor records owner's location which is sent to other devices in the home,a sleep monitor,owner's location,other devices in the home,iotNull
6,a sleep monitor records owner's location which is sent to owner's immediate family,a sleep monitor,owner's location,owner's immediate family,iotNull
7,a sleep monitor records owner's location which is sent to owner's social media accounts,a sleep monitor,owner's location,owner's social media accounts,iotNull
8,a sleep monitor records owner's eating habits which is sent to the local police,a sleep monitor,owner's eating habits,the local police,iotNull
9,a sleep monitor records owner's eating habits which is sent to government intelligence agencies,a sleep monitor,owner's eating habits,government intelligence agencies,iotNull
10,a sleep monitor records owner's eating habits which is sent to owner's doctor,a sleep monitor,owner's eating habits,owner's doctor,iotNull
11,a sleep monitor records owner's eating habits which is sent to an Internet service provider,a sleep monitor,owner's eating habits,an Internet service provider,iotNull
12,a sleep monitor records owner's eating habits which is sent to its manufacturer,a sleep monitor,owner's eating habits,its manufacturer,iotNull
13,a sleep monitor records owner's eating habits which is sent to other devices in the home,a sleep monitor,owner's eating habits,other devices in the home,iotNull
14,a sleep monitor records owner's eating habits which is sent to owner's immediate family,a sleep monitor,owner's eating habits,owner's immediate family,iotNull
15,a sleep monitor records owner's eating habits which is sent to owner's social media accounts,a sleep monitor,owner's eating habits,owner's social media accounts,iotNull
16,a sleep monitor records the times owner is home which is sent to the local police,a sleep monitor,the times owner is home,the local police,iotNull
17,a sleep monitor records the times owner is home which is sent to government intelligence agencies,a sleep monitor,the times owner is home,government intelligence agencies,iotNull
18,a sleep monitor records the times owner is home which is sent to owner's doctor,a sleep monitor,the times owner is home,owner's doctor,iotNull
19,a sleep monitor records the times owner is home which is sent to an Internet service provider,a sleep monitor,the times owner is home,an Internet service provider,iotNull
20,a sleep monitor records the times owner is home which is sent to its manufacturer,a sleep monitor,the times owner is home,its manufacturer,iotNull
21,a sleep monitor records the times owner is home which is sent to other devices in the home,a sleep monitor,the times owner is home,other devices in the home,iotNull
22,a sleep monitor records the times owner is home which is sent to owner's immediate family,a sleep monitor,the times owner is home,owner's immediate family,iotNull
23,a sleep monitor records the times owner is home which is sent to owner's social media accounts,a sleep monitor,the times owner is home,owner's social media accounts,iotNull
24,a sleep monitor records owner's exercise routine which is sent to the local police,a sleep monitor,owner's exercise routine,the local police,iotNull
25,a sleep monitor records owner's exercise routine which is sent to government intelligence agencies,a sleep monitor,owner's exercise routine,government intelligence agencies,iotNull
26,a sleep monitor records owner's exercise routine which is sent to owner's doctor,a sleep monitor,owner's exercise routine,owner's doctor,iotNull
27,a sleep monitor records owner's exercise routine which is sent to an Internet service provider,a sleep monitor,owner's exercise routine,an Internet service provider,iotNull
