,vignette,recipient,source,duration,place,type
0,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a restaurant or a cafe,location2
1,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a restaurant or a cafe,location2
2,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a restaurant or a cafe,location2
3,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a restaurant or a cafe,location2
4,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a restaurant or a cafe,location2
5,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,the mall,location2
6,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,the mall,location2
7,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,the mall,location2
8,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,the mall,location2
9,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,the mall,location2
10,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a liquor store,location2
11,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a liquor store,location2
12,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a liquor store,location2
13,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a liquor store,location2
14,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a liquor store,location2
15,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a shoe store,location2
16,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a shoe store,location2
17,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a shoe store,location2
18,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a shoe store,location2
19,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a shoe store,location2
20,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,home,location2
21,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,home,location2
22,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,home,location2
23,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,home,location2
24,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,home,location2
25,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,work,location2
26,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,work,location2
27,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,work,location2
28,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,work,location2
29,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,work,location2
30,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a medical clinic,location2
31,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a medical clinic,location2
32,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a medical clinic,location2
33,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a medical clinic,location2
34,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a medical clinic,location2
35,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a voting site,location2
36,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a voting site,location2
37,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a voting site,location2
