,vignette,recipient,source,duration,place,inference,type
0,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a restaurant or a cafe,who your friends are,location3
1,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a restaurant or a cafe,who your friends are,location3
2,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a restaurant or a cafe,who your friends are,location3
3,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a restaurant or a cafe,who your friends are,location3
4,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a restaurant or a cafe,who your friends are,location3
5,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,the mall,whether they are active in their political beliefs in attending protests,location3
6,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,the mall,whether they are active in their political beliefs in attending protests,location3
7,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,the mall,whether they are active in their political beliefs in attending protests,location3
8,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,the mall,whether they are active in their political beliefs in attending protests,location3
9,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,the mall,whether they are active in their political beliefs in attending protests,location3
10,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a liquor store,whether they have a drinking problem,location3
11,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a liquor store,whether they have a drinking problem,location3
12,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a liquor store,whether they have a drinking problem,location3
13,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a liquor store,whether they have a drinking problem,location3
14,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a liquor store,whether they have a drinking problem,location3
15,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a shoe store,how susceptible they are to show ads,location3
16,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a shoe store,how susceptible they are to show ads,location3
17,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a shoe store,how susceptible they are to show ads,location3
18,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a shoe store,how susceptible they are to show ads,location3
19,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a shoe store,how susceptible they are to show ads,location3
20,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,home,how often they spend the nigh away from home,location3
21,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,home,how often they spend the nigh away from home,location3
22,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,home,how often they spend the nigh away from home,location3
23,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,home,how often they spend the nigh away from home,location3
24,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,home,how often they spend the nigh away from home,location3
25,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,work,whether they are dedicated workers,location3
26,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,work,whether they are dedicated workers,location3
27,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,work,whether they are dedicated workers,location3
28,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,work,whether they are dedicated workers,location3
29,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,work,whether they are dedicated workers,location3
30,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a medical clinic,whether they have a chronic illness,location3
31,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a medical clinic,whether they have a chronic illness,location3
32,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a medical clinic,whether they have a chronic illness,location3
33,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a medical clinic,whether they have a chronic illness,location3
34,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a medical clinic,whether they have a chronic illness,location3
35,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",license plate reader,a year,a voting site,how regularly they vote,location3
36,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",license plate reader,about six months,a voting site,how regularly they vote,location3
37,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",license plate reader,a month,a voting site,how regularly they vote,location3
38,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a voting site,how regularly they vote,location3
39,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a voting site,how regularly they vote,location3
40,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a restaurant or a cafe,who your friends are,location3
41,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a restaurant or a cafe,who your friends are,location3
