,vignette,actor,infotype,use,type
0,"A browser collects your your likes, clicks and engagement online. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web1
1,"A browser collects your your likes, clicks and engagement online. The company keeps the new knowledge to improve services generally",browser,"your likes, clicks and engagement online",to improve services generally,web1
2,"A browser collects your your likes, clicks and engagement online. The company keeps the new knowledge to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web1
3,"A browser collects your your likes, clicks and engagement online. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web1
4,A browser collects your your location. The company keeps the new knowledge for others to place ads targeted to you while you are online later,browser,your location,for others to place ads targeted to you while you are online later,web1
5,A browser collects your your location. The company keeps the new knowledge to improve services generally,browser,your location,to improve services generally,web1
6,A browser collects your your location. The company keeps the new knowledge to place ads targeted to you while on their site,browser,your location,to place ads targeted to you while on their site,web1
7,"A browser collects your your location. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
8,A browser collects your your search history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,browser,your search history,for others to place ads targeted to you while you are online later,web1
9,A browser collects your your search history. The company keeps the new knowledge to improve services generally,browser,your search history,to improve services generally,web1
10,A browser collects your your search history. The company keeps the new knowledge to place ads targeted to you while on their site,browser,your search history,to place ads targeted to you while on their site,web1
11,"A browser collects your your search history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
12,A browser collects your the data you included in your profile. The company keeps the new knowledge for others to place ads targeted to you while you are online later,browser,the data you included in your profile,for others to place ads targeted to you while you are online later,web1
13,A browser collects your the data you included in your profile. The company keeps the new knowledge to improve services generally,browser,the data you included in your profile,to improve services generally,web1
14,A browser collects your the data you included in your profile. The company keeps the new knowledge to place ads targeted to you while on their site,browser,the data you included in your profile,to place ads targeted to you while on their site,web1
15,"A browser collects your the data you included in your profile. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
16,A browser collects your your web activity including browsing or purchase history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,browser,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web1
17,A browser collects your your web activity including browsing or purchase history. The company keeps the new knowledge to improve services generally,browser,your web activity including browsing or purchase history,to improve services generally,web1
18,A browser collects your your web activity including browsing or purchase history. The company keeps the new knowledge to place ads targeted to you while on their site,browser,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web1
19,"A browser collects your your web activity including browsing or purchase history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
20,"A search engine collects your your likes, clicks and engagement online. The company keeps the new knowledge for others to place ads targeted to you while you are online later",search engine,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web1
21,"A search engine collects your your likes, clicks and engagement online. The company keeps the new knowledge to improve services generally",search engine,"your likes, clicks and engagement online",to improve services generally,web1
22,"A search engine collects your your likes, clicks and engagement online. The company keeps the new knowledge to place ads targeted to you while on their site",search engine,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web1
23,"A search engine collects your your likes, clicks and engagement online. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web1
24,A search engine collects your your location. The company keeps the new knowledge for others to place ads targeted to you while you are online later,search engine,your location,for others to place ads targeted to you while you are online later,web1
25,A search engine collects your your location. The company keeps the new knowledge to improve services generally,search engine,your location,to improve services generally,web1
